
2026-06-15,HRUM,55.5,77.47,830.0,2.1
2026-06-15,ACES,52.9,80.38,366.0,1.58
2026-06-15,BBCA,50.9,82.43,6275.0,1.19
2026-06-15,BMRI,50.7,79.86,4500.0,1.15
2026-06-15,MAPI,48.2,26.13,1475.0,1.83
2026-06-15,SSIA,46.8,75.21,1660.0,1.35
2026-06-15,GGRM,45.3,71.14,15775.0,1.07
2026-06-15,TOWR,41.8,86.36,390.0,2.36
2026-06-15,DEWA,41.7,82.24,370.0,2.35
2026-06-15,SMGR,41.7,41.39,1555.0,2.97
2026-06-16,HRUM,55.5,77.47,830.0,2.1
2026-06-16,ACES,52.9,80.38,366.0,1.58
2026-06-16,BBCA,50.9,82.43,6275.0,1.19
2026-06-16,BMRI,50.7,79.86,4500.0,1.15
2026-06-16,MAPI,48.2,26.13,1475.0,1.83
2026-06-16,SSIA,46.8,75.21,1660.0,1.35
2026-06-16,GGRM,45.3,71.14,15775.0,1.07
2026-06-16,BUMI,42.9,77.98,173.0,2.58
2026-06-16,TOWR,41.8,86.36,390.0,2.36
2026-06-16,DEWA,41.7,82.24,370.0,2.35
2026-06-17,MAPI,38.9,26.13,nan,1.95
2026-06-17,BUKA,33.8,32.77,nan,4.21
2026-06-17,GOTO,24.3,23.6,nan,0.63
2026-06-17,MEDC,17.8,33.23,nan,0.88
2026-06-17,ESSA,16.2,53.69,nan,3.24
2026-06-17,SSIA,15.4,75.21,nan,1.09
2026-06-17,SMGR,14.2,41.39,nan,1.47
2026-06-17,EXCL,13.7,38.52,nan,0.91
2026-06-17,JPFA,13.7,38.4,nan,0.88
2026-06-17,KLBF,13.5,68.22,nan,2.7
2026-06-18,ACES,52.4,84.96,374.0,1.48
2026-06-18,MAPI,49.8,65.3,1500.0,1.95
2026-06-18,AMRT,48.5,77.74,1425.0,0.7
2026-06-18,ESSA,46.2,77.65,665.0,3.24
2026-06-18,GGRM,42.6,78.94,16200.0,0.52
2026-06-18,BUKA,40.2,24.69,104.0,4.21
2026-06-18,GOTO,39.3,23.6,50.0,0.63
2026-06-18,PGEO,37.3,74.61,905.0,1.46
2026-06-18,MBMA,36.8,79.13,515.0,0.78
2026-06-18,BBRI,36.3,78.6,3080.0,1.26
